Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,consumption
2017-01-01 0:00:00,6.4864999999999995,74.15,0.083,0.0605,0.10200000000000001,31935.189870000002
2017-01-01 0:15:00,6.313,74.5,0.08,0.062,0.1,29128.10127
2017-01-01 0:30:00,6.021000000000001,75.35,0.082,0.0695,0.0905,27782.27848
2017-01-01 0:45:00,5.853,76.9,0.081,0.059,0.108,26624.81013
2017-01-01 1:00:00,5.5685,77.95,0.0825,0.051500000000000004,0.0945,25722.531645
2017-01-01 1:15:00,5.678,78.1,0.081,0.066,0.141,24777.72152
2017-01-01 1:30:00,5.5035,77.4,0.0815,0.056499999999999995,0.1095,24088.101264999998
2017-01-01 1:45:00,5.471,76.7,0.083,0.059,0.126,23544.3038
2017-01-01 2:00:00,5.0135000000000005,78.69999999999999,0.0825,0.07,0.115,22666.32911
2017-01-01 2:15:00,4.975,78.9,0.083,0.055,0.152,22092.1519
2017-01-01 2:30:00,4.9585,79.4,0.082,0.0605,0.115,21794.430379999998
2017-01-01 2:45:00,5.407,78.5,0.082,0.062,0.163,21484.55696
2017-01-01 3:00:00,5.125,77.80000000000001,0.0835,0.058499999999999996,0.119,21053.164555
2017-01-01 3:15:00,5.041,77.2,0.081,0.062,0.152,20870.88608
2017-01-01 3:30:00,4.965,76.75,0.084,0.0605,0.161,20734.177215
2017-01-01 3:45:00,4.805,76.2,0.081,0.059,0.134,20421.26582
2017-01-01 4:00:00,4.827,75.05000000000001,0.083,0.057,0.128,20503.29114
2017-01-01 4:15:00,5.203,74.1,0.085,0.062,0.096,20530.63291
2017-01-01 4:30:00,5.275,72.95,0.08,0.0675,0.124,20503.29114
2017-01-01 4:45:00,5.179,74.2,0.083,0.037,0.137,20311.89873
2017-01-01 5:00:00,4.8260000000000005,74.35,0.081,0.053,0.14300000000000002,20582.27848
2017-01-01 5:15:00,5.546,74.0,0.082,0.055,0.093,20627.8481
2017-01-01 5:30:00,4.52,75.2,0.0805,0.058499999999999996,0.126,20828.35443
2017-01-01 5:45:00,4.212,78.3,0.081,0.117,0.082,21393.41772
2017-01-01 6:00:00,4.5215,75.75,0.0805,0.051000000000000004,0.14100000000000001,22073.924055
2017-01-01 6:15:00,4.769,75.6,0.082,0.099,0.063,21776.20253
2017-01-01 6:30:00,4.664,75.2,0.0825,0.068,0.1075,21560.506325000002
2017-01-01 6:45:00,4.29,77.0,0.085,0.033,0.193,20846.58228
2017-01-01 7:00:00,4.4085,75.3,0.083,0.051500000000000004,0.14300000000000002,19446.07595
2017-01-01 7:15:00,4.489,74.3,0.082,0.081,0.119,18167.08861
2017-01-01 7:30:00,4.417,72.25,0.0825,0.07150000000000001,0.104,18069.87342
2017-01-01 7:45:00,4.583,71.0,0.083,0.066,0.104,18045.56962
2017-01-01 8:00:00,4.8004999999999995,72.55,0.083,0.571,0.5469999999999999,18686.582275
2017-01-01 8:15:00,4.757,73.5,0.083,3.188,3.134,19576.70886
2017-01-01 8:30:00,4.4275,74.65,0.083,9.6415,8.312000000000001,20002.025315
2017-01-01 8:45:00,4.718,73.7,0.081,58.97,17.0,20676.4557
